"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Looking","2014","Muddy Waters Coffee House",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4216732 37.7645244)","-122.4216732","37.7645244","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"George of the Jungle","1997","Bay Bridge","Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.","Walt Disney Pictures","Buena Vista Pictures","Sam Weisman","Jay Ward","Brendan Fraser","Leslie Mann",,"POINT (-122.3648992 37.8102258)","-122.3648992","37.8102258","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4347365 37.7619917)","-122.4347365","37.7619917","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Presidio","1988","200 Block of Sansome Street (Financial District)",,"Paramount Pictures","Paramount Pictures","Peter Hyams","Larry Ferguson","Sean Connery","Mark Harmon","Meg Ryan","POINT (-122.4008024 37.7920216)","-122.4008024","37.7920216","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Golden Gate Bridge",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Matrix Resurrections","2021","44 Montogomery",,"Adobe Pictures, Inc.","Warner Brothers","Lana Wachowski","Lana Wachowski, David Mitchell, Aleksander Hemon","Keanu Reeves","Keanu Reeves","Neil Patrick Harris","POINT (-122.401906 37.7897312)","-122.401906","37.7897312","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Blue Jasmine","2013","2934 24th St.",,"Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","POINT (-122.4107118 37.7529598)","-122.4107118","37.7529598","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man","2015","601 Buena Vista Ave West at Java St.",,"PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari","Michael Douglas","Paul Rudd",,"POINT (-122.443956 37.7669343)","-122.443956","37.7669343","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bitter Melon","2018","33 Dearborn St",,"Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","POINT (-122.4228372 37.7627015)","-122.4228372","37.7627015","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Greed","1924","Bush and Sutter Streets",,"Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim","Eric von Stroheim","Zasu Pitts","Gibson Gowland","Jean Hersholt","POINT (-122.4066034 37.7901055)","-122.4066034","37.7901055","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Age of Adaline","2015","Montgomery/Green",,"Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment",,"Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","POINT (-122.4036859 37.7972387)","-122.4036859","37.7972387","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Golden Gate","1994","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","American Playhouse Theatrical Films","The Samuel Goldwyn Company","John Madden","David Henry Hwang","Matt Dillon","Joan Chen",,"POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","Corona Heights - 16th at Flint St",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4365555 37.7639958)","-122.4365555","37.7639958","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Godzilla","2014","Embarcadero & Washington",,"Nautilus Productions, LLC","Warner Bros. Pictures","Gareth Edwards","Max Borenstein","Aaron Taylor-Johnson","Elizabeth Olsen","Bryan Cranston","POINT (-122.3952588 37.7967391)","-122.3952588","37.7967391","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 1","2014","Kearny Street between Broadway and Pacific Avenue",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.405222 37.79717)","-122.405222","37.79717","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Red Widow","2013","Pioneer Park at Coit Tower",,"Beyond Pix","American Broadcasting Company (ABC)","Alon Aranya","Melissa Rosenberg","Radha Mitchell","Sterling Beaumon","Clifton Collins Jr.","POINT (-122.4058782 37.8031199)","-122.4058782","37.8031199","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Columbus & Lombard Streets (North Beach)",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.4137353 37.8027511)","-122.4137353","37.8027511","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Freebie and the Bean","1974","Potrero Hill","The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.","Warner Bros. Pictures","American Broadcasting Company (ABC)","Richard Rush","Robert Kaufman","Alan Arkin","James Caan","Loretta Swit","POINT (-122.4011391 37.7597412)","-122.4011391","37.7597412","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Beautiful Boy","2018","Ohloff Recovery Center (601 Steiner St)",,"Big Indie Pictures","Amazon Studios","Felix van Groeningen","Luke Davies","Steve Carell","Timothee Chalamet","Maura Tierney","POINT (-122.433055 37.774868)","-122.433055","37.774868","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","Andrew S. Hallidie Plaza (Market & Powell Streets)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4080699 37.7844406)","-122.4080699","37.7844406","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dr. Dolittle 2","2001","West Chrissy Field (Presidio, Golden Gate National Recreation Area)","This movie was the first to film in the revamped Chrissy Field Picnic Area.","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Steve Carr","Larry Levin","Eddie Murphy","Kristen Wilson",,"POINT (-122.4650165 37.8040257)","-122.4650165","37.8040257","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Super Pumped: The Battle for Uber","2022","Missouri & 18th Street",,"Possible Productions","Showtime","Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter","Joseph Gordon-Levitt","Kyle Chandler","Kerry Bishé","POINT (-122.3965516 37.7625922)","-122.3965516","37.7625922","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man","2015","Intersection of California at Polk","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari","Michael Douglas","Paul Rudd",,"POINT (-122.42083 37.79049)","-122.42083","37.79049","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","363 Lyon St",,"LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.4429418 37.7742258)","-122.4429418","37.7742258","Lone Mountain/USF","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","Red Building, 2567 Mission St",,"LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.4185349 37.7560308)","-122.4185349","37.7560308","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shattered","1991",,,"Capella International","Metro-Goldwyn-Mayer","Wolfgang Petersen","Wolfgang Petersen","Tom Berenger","Bob Hoskins",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Metro","1997","Bush Street at Jones",,"Touchstone Pictures","Buena Vista Pictures","Thomas Carter","Randy Feldman","Eddie Murphy",,,"POINT (-122.4137459 37.7895412)","-122.4137459","37.7895412","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Farley's Coffee - 1315 18th St",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.3959956 37.7624718)","-122.3959956","37.7624718","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sudden Fear","1952","2800 Scott Street",,"Joseph Kaufmann Pictures","RKO Pictures","David Miller","Lenore J. Coffee","Joan Crawford","Jack Palance","Gloria Grahame","POINT (-122.4400341 37.7957588)","-122.4400341","37.7957588","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","Grace Cathedral, 1100 California St.","Martin Luther King, Jr. gave a sermon at the cathedral to celebrate the completion and consecration of the church in 1964.","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews","POINT (-122.4133739 37.7918593)","-122.4133739","37.7918593","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 203","2015","Mad Dog Bar, 530 Haight Street","The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season.","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.431029 37.7721618)","-122.431029","37.7721618","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sausalito","2000","The Castro","From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.","B.O.B and Partners",,"Andrew Lau",,"Maggie Cheung","Leon Lai",,"POINT (-122.435033 37.7608937)","-122.435033","37.7608937","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Surface","2022","Merchant Road Trail at Presidio",,"Apple Studios, LLC","Apple TV+","Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman","Gugu Mbatha-Raw","Oliver Jackson-Cohen","Ari Graynor","POINT (-122.4760613 37.805407)","-122.4760613","37.805407","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Americana","2015","Coi Restaurant (373 Broadway)",,"Sutro Films LLC",,"Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","POINT (-122.4034106 37.7980524)","-122.4034106","37.7980524","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"What's Up Doc?","1972","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","Warner Bros. Pictures","Warner Bros. Pictures","Peter Bogdanovich","Peter Bogdanovich & Buck Henry","Barbra Streisand","Ryan O'Neal",,"POINT (-122.4101808 37.8016649)","-122.4101808","37.8016649","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Other Sister","1999","Transbay Terminal (Mission Street at 1st Street)","Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.","Mandeville Films","Buena Vista Pictures","Garry Marshall","Garry Marshall","Juliette Lewis","Diane Keaton",,"POINT (-122.39658 37.79021)","-122.39658","37.79021","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Guess Who's Coming to Dinner","1967","634 Raycliff Terrace",,"Columbia Pictures Corporation","Columbia Pictures","Stanley Kramer","William Rose","Spencer Tracy","Sidney Poitier","Katharine Hepburn","POINT (-122.4427392 37.7926761)","-122.4427392","37.7926761","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","Washington Square Park (North Beach)","Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.","Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.4102464 37.8007752)","-122.4102464","37.8007752","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Vegas in Space","1992","Corona Heights Park",,"Troma Entertainment","MCA/Universal Home Video","Phillip R. Ford","Doris Fish","Doris Fish","Miss X","Ginger Quest","POINT (-122.4385796 37.7653137)","-122.4385796","37.7653137","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Matrix Resurrections","2021","1 Front St",,"Adobe Pictures, Inc.","Warner Brothers","Lana Wachowski","Lana Wachowski, David Mitchell, Aleksander Hemon","Keanu Reeves","Keanu Reeves","Neil Patrick Harris","POINT (-122.3989854 37.7918198)","-122.3989854","37.7918198","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Rowland Street",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4046394 37.7978403)","-122.4046394","37.7978403","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Internship","2013","Montgomery and Union St.",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Shawn Levy","Vince Vaughn","Vince Vaughn","Owen Wilson","Rose Byrne","POINT (-122.4044922 37.8010458)","-122.4044922","37.8010458","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking ""Special""","2016","1246 Folsom Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.411015 37.7746)","-122.411015","37.7746","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Regency Ballroom - 1290 Sutter St",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4214133 37.7878701)","-122.4214133","37.7878701","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Summertime","2015","Love Street Vintage (1506 Haight & adjacent Haight sidewalk_",,"Creative Monster Productions, Inc.","6 Distribution","Gabriele Muccino","Gabriele Muccino","Jessica Rothe","Scott Bakula","Matilda Anna Ingrid Lutz","POINT (-122.4783452 37.7764605)","-122.4783452","37.7764605","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Always Be My Maybe","2019","22nd Ave Home",,"Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","POINT (-122.4776659 37.7633907)","-122.4776659","37.7633907","Sunset/Parkside","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Laughing Policeman","1973",,,"Twentieth Century Fox Film Corporation","American Broadcasting Company (ABC)","Stuart Rosenberg","Thomas Rickman","Walter Matthau","Bruce Dern","Louis Gossett Jr.",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dopamine","2003","South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)",,"Kontent Films","Sundance Channel Home Entertainment","Mark Decena","Mark Decena & Timothy Breitbach","John Livingston","Sabrina Lloyd",,"POINT (-122.3939621 37.7815955)","-122.3939621","37.7815955","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","435 Broadway",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.404479 37.7979773)","-122.404479","37.7979773","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Magnum Force","1973","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","The Malpaso Company","Warner Bros. Pictures","Ted Post","John Milius","Clint Eastwood","Hal Holbrook","Mitchell Ryan","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Goliath- Season 4","2021","Grant and Commercial",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.4062305 37.7938343)","-122.4062305","37.7938343","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
